metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
vespa.http.status.1xx.rate,gauge,,response,second,Number of responses with a 1xx status,0,vespa,
vespa.http.status.2xx.rate,gauge,,response,second,Number of responses with a 2xx status,0,vespa,
vespa.http.status.3xx.rate,gauge,,response,second,Number of responses with a 3xx status,0,vespa,
vespa.http.status.4xx.rate,gauge,,response,second,Number of responses with a 4xx status,0,vespa,
vespa.http.status.5xx.rate,gauge,,response,second,Number of responses with a 5xx status,0,vespa,
vespa.jdisc.gc.ms.average,gauge,,millisecond,,Time spent in GC,0,vespa,
vespa.mem.heap.free.average,gauge,,byte,,Free heap size,0,vespa,
vespa.queries.rate,gauge,,query,second,Number of search queries,1,vespa,
vespa.feed.operations.rate,gauge,,operation,second,Number of feed operations,1,vespa,
vespa.query_latency.average,gauge,,millisecond,,Query processing time,-1,vespa,
vespa.query_latency.95percentile,gauge,,millisecond,,95 percentile query processing time,-1,vespa,
vespa.query_latency.99percentile,gauge,,millisecond,,99 percentile query processing time,-1,vespa,
vespa.hits_per_query.average,gauge,,document,query,"Hits in the returned result, per query",0,vespa,
vespa.totalhits_per_query.average,gauge,,hit,query,Estimated total number of hits per query,0,vespa,
vespa.degraded_queries.rate,gauge,,query,second,Queries with degraded results due to timeout,-1,vespa,
vespa.failed_queries.rate,gauge,,query,second,Failed queries,-1,vespa,
vespa.serverActiveThreads.average,gauge,,thread,,Threads that are active processing requests,0,vespa,
vespa.content.proton.docsum.docs.rate,gauge,,document,,Total docsums returned,0,vespa,
vespa.content.proton.docsum.latency.average,gauge,,second,,Docsum request latency (seconds),-1,vespa,
vespa.content.proton.transport.query.count.rate,gauge,,query,,Query requests handled,1,vespa,
vespa.content.proton.transport.query.latency.average,gauge,,second,,Query request latency (seconds),-1,vespa,
vespa.content.proton.documentdb.documents.total.last,gauge,,document,,Total documents in document db (ready + not-ready),0,vespa,
vespa.content.proton.documentdb.documents.ready.last,gauge,,document,,Ready documents in this document db,0,vespa,
vespa.content.proton.documentdb.documents.active.last,gauge,,document,,Active/searchable documents in document db,0,vespa,
vespa.content.proton.documentdb.index.docs_in_memory.last,gauge,,document,,Documents in memory index,0,vespa,
vespa.content.proton.documentdb.disk_usage.last,gauge,,byte,,Total disk usage for this document db,0,vespa,
vespa.content.proton.documentdb.job.total.average,gauge,,job,,Job load total of all job metrics,0,vespa,
vespa.content.proton.documentdb.job.attribute_flush.average,gauge,,job,,Flushing of attribute vector(s) to disk,0,vespa,
vespa.content.proton.documentdb.job.disk_index_fusion.average,gauge,,job,,Fusion of disk indexes,0,vespa,
vespa.content.proton.documentdb.job.document_store_compact.average,gauge,,job,,Compaction of document store on disk,0,vespa,
vespa.content.proton.documentdb.job.memory_index_flush.average,gauge,,job,,Flushing of memory index to disk,0,vespa,
vespa.content.proton.resource_usage.disk.average,gauge,,fraction,,Relative amount of disk space used on this machine,0,vespa,
vespa.content.proton.resource_usage.disk_utilization.average,gauge,,fraction,,Relative amount of disk used compared to the disk resource limit,0,vespa,
vespa.content.proton.resource_usage.memory.average,gauge,,fraction,,Relative amount of memory used by this process,0,vespa,
vespa.content.proton.resource_usage.feeding_blocked.last,gauge,,,,Whether feeding is blocked due to resource limitations (value is 0 or 1),-1,vespa,
vespa.content.proton.documentdb.ready.document_store.memory_usage.allocated_bytes.average,gauge,,byte,,Number of allocated bytes in document store,0,vespa,
vespa.content.proton.documentdb.ready.document_store.cache.hit_rate.average,gauge,,fraction,,Rate of hits in the cache compared to number of lookups,0,vespa,
vespa.content.proton.documentdb.index.memory_usage.allocated_bytes.average,gauge,,byte,,Number of allocated bytes in memory index,0,vespa,
vespa.content.proton.documentdb.matching.docs_matched.rate,gauge,,document,,Number of documents matched,0,vespa,
vespa.content.proton.documentdb.matching.docs_reranked.rate,gauge,,document,,Number of documents re-ranked (second phase),0,vespa,
vespa.content.proton.documentdb.matching.rank_profile.query_latency.average,gauge,,second,,Total latency (seconds) when matching and ranking a query,-1,vespa,
vespa.content.proton.documentdb.matching.rank_profile.rerank_time.average,gauge,,second,,Time (seconds) spent on 2nd phase ranking,-1,vespa,
vespa.vds.filestor.alldisks.allthreads.put.sum.count.rate,gauge,,operation,second,Document put operations processed by persistence threads,1,vespa,
vespa.vds.filestor.alldisks.allthreads.remove.sum.count.rate,gauge,,operation,second,Document remove operations processed by persistence threads,1,vespa,
vespa.vds.filestor.alldisks.allthreads.get.sum.count.rate,gauge,,operation,second,Document get operations processed by persistence threads,1,vespa,
vespa.vds.filestor.alldisks.allthreads.update.sum.count.rate,gauge,,operation,second,Document update operations processed by persistence threads,1,vespa,
vespa.vds.filestor.alldisks.allthreads.visit.sum.count.rate,gauge,,operation,second,Document visit operations processed by persistence threads,1,vespa,
